daisy agapanthus lily alyssum amaranthus
amaryllis anemone snapdragon columbine milkweed
aster lotus violet cornflower magnolia
begonia bellflower lobelia bluebell lilac
lupin buttercup calendula poppy candytuft
primrose carnation celosia chrysanthemum clematis
clover coneflower coreopsis cosmo geranium
phlox crocus daffodil dahlia delphinium 
dianthus iris heather forsythia foxglove
plumeria freesia marigold gardenia gerbera
goldenrod hyacinth heliotrope hibiscus hollyhock
honeysuckle hydrangea impatient jasmine lavender
