apple banana grape pear honeydew
cantelope kiwi blackberry raspberry blueberry
cherry mango watermelon bilberry currant
boysenberry apricot strawberry cherimoya yuzu
couldberry coconut cranberry cucumber damson
dragonfruit durian elderberry feijoa figs 
gogiberry gooseberry grapefruit guava huckleberry
jackfruit jambal jujube kumquat lemon 
loquat lychee marionberry mulberry nectarine
orange lime papaya passionfruit pineapple
peach persimmon plantain plum pomegranate
pomelo quince rambutan soursop starfruit 
